Node,Airport Name,Lon,Lat
SKW, Skwentna Airport,-151.1879783,
LAS, McCarran International,-115.15200039999999,36.08010101
CKD, Crooked Creek Airport,-158.135,61.867778
GNU, Goodnews,-161.5775,59.1175
HCR, Holy Cross Airport,-159.7749939,62.18830109
HPB, Hooper Bay Airport,-166.1470032,61.52389908
HSL, Huslia Airport,-156.3509979,65.69789886
KGX, Grayling Airport,-160.065,62.89444399999999
KPN, Kipnuk Airport,-164.03100590000003,59.93299866
MLL, Marshall Don Hunter Sr.,-162.026001,61.86429977
MOU, Mountain Village Airport,-163.6820068,62.09540176
NUI, Nuiqsut Airport,-151.0059967,70.20999908
PIZ, Point Lay LRRS,-163.00500490000002,69.73290253
PQS, Pilot Station Airport,-162.899444,61.93444399999999
SMK, St. Michael Airport,-162.1100006,63.49010086
TLT, Tuluksak Airport,-160.96944399999998,61.09694399999999
WTL, Tuntutuliak Airport,-162.666944,60.335278
RSN, Ruston Regional,-92.58902109999998,
YIP, Willow Run,-83.53040314,42.23789978
APA, Centennial,-104.84899899999999,39.57009888
BUR, Bob Hope,-118.35900120000001,34.20069885
HHR, Jack Northrop Field/Hawthorne Municipal,-118.334999,33.922798
LGB, Long Beach Airport,-118.15200039999999,33.81769943
ONT, Ontario International,-117.60099790000001,34.05599976
TKF, Truckee Tahoe,-120.1399994,39.31999969
VNY, Van Nuys Airport,-118.4899979,34.20980072
YAK, Yakutat Airport,-139.66000369999998,59.50329971
ELM, Elmira/Corning Regional,-76.89160156,42.15990067
JAX, Jacksonville International,-81.68789673,30.49410057
RIC, Richmond International,-77.31970215,37.50519943
SCE, University Park,-77.84870148,40.84930038
PBI, Palm Beach International,-80.09559631,26.68320084
MYK, May Creek Airport,-142.6875629,
BGR, Bangor International,-68.82810211,44.80739975
BNA, Nashville International,-86.67819977,36.12450027
CAK, Akron-Canton Regional,-81.44219971,40.91609955
CVG, Cincinnati/Northern Kentucky International,-84.6678009,39.04880142
EWR, Newark Liberty International,-74.16870117,40.69250107
GRR, Gerald R. Ford International,-85.52279663,42.88079834
LEX, Blue Grass,-84.60590363,38.03649902
LIT, Bill and Hillary Clinton Nat Adams Field,-92.22429657,34.72940063
MEM, Memphis International,-89.97669983,35.04240036
PVD, Theodore Francis Green State,-71.42040300000001,41.732601
SAV, Savannah/Hilton Head International,-81.20210266,32.12760162
SDF, Louisville Muhammad Ali International,-85.736,38.1744
TUL, Tulsa International,-95.88809967,36.19839859
DFW, Dallas/Fort Worth International,-97.038002,32.896801
MSN, Dane County Regional-Truax Field,-89.33750153,43.13990021
PDX, Portland International,-122.59799960000001,45.58869934
PSC, Tri Cities,-119.1190033,46.26470184
SAT, San Antonio International,-98.46980286,29.53370094
SBA, Santa Barbara Municipal,-119.8399963,34.42620087
ILI, Iliamna Airport,-154.9109955,59.75439835
KNK, Kokhanok Airport,-154.79674939999998,
NNL, Nondalton Airport,-154.8390045,59.98020172
PTA, Port Alsworth Airport,-154.325863,60.20168100000001
ABQ, Albuquerque International Sunport,-106.609001,35.040199
AMA, Rick Husband Amarillo International,-101.706001,35.219398
ATL, Hartsfield-Jackson Atlanta International,-84.428101,33.6367
BOI, Boise Air Terminal,-116.223,43.5644
BUF, Buffalo Niagara International,-78.73220062,42.94049835
BWI, Baltimore/Washington International Thurgood Marshall,-76.668297,39.1754
CHS, Charleston AFB/International,-80.04049683,32.89860153
CLE, Cleveland-Hopkins International,-81.84980011,41.4117012
CLT, Charlotte Douglas International,-80.94309998,35.21400070000001
CMH, John Glenn Columbus International,-82.891899,39.998001
CRP, Corpus Christi International,-97.50119781,27.77039909
DCA, Ronald Reagan Washington National,-77.037697,38.8521
DEN, Denver International,-104.6729965,39.86169815
DSM, Des Moines International,-93.6631012,41.5340004
DTW, Detroit Metro Wayne County,-83.35340118,42.21239853
ECP, Northwest Florida Beaches International,-85.79541400000001,30.357105999999998
ELP, El Paso International,-106.37799840000002,31.80719948
FLL, Fort Lauderdale-Hollywood International,-80.152702,26.072599
GEG, Spokane International,-117.5339966,47.61989975
GSP, Greenville-Spartanburg International,-82.21890259,34.89569855
IND, Indianapolis International,-86.294403,39.7173
ISP, Long Island MacArthur,-73.10019684,40.79520035
BHD, Belfast City,-5.872499942999999,54.61809921
LBB, Lubbock Preston Smith International,-101.822998,33.663601
MAF, Midland International Air and Space Port,-102.2020035,31.94249916
MDW, Chicago Midway International,-87.752403,41.785999
MKE, General Mitchell International,-87.89659882,42.94720078
MSP, Minneapolis-St Paul International,-93.221802,44.882
MSY, Louis Armstrong New Orleans International,-90.25800323,29.99340057
OAK, Metropolitan Oakland International,-122.221001,37.721298
OMA, Eppley Airfield,-95.89409599999999,41.3032
ORF, Norfolk International,-76.20120239,36.89459991
PIT, Pittsburgh International,-80.23290253,40.49150085
PWM, Portland International Jetport,-70.30930328,43.64619827
RDU, Raleigh-Durham International,-78.78749847,35.87760162
RNO, Reno/Tahoe International,-119.7679977,39.49909973
ROC, Greater Rochester International,-77.67240143,43.1189003
SEA, Seattle/Tacoma International,-122.308998,47.449001
SFO, San Francisco International,-122.375,37.61899948
SLC, Salt Lake City International,-111.97799679999999,40.78839874
SMF, Sacramento International,-121.5910034,38.69540024
TUS, Tucson International,-110.9410019,32.11610031
YKA, Kamloops Airport,-120.4440002,50.70220184
BFI, Boeing Field/King County International,-122.302002,47.52999878
NCE, Nice Cote D Azur,7.215869904,43.65840149
SGD, Sonderborg Airport,9.791729927,54.96440125
PPG, Pago Pago International,-170.71000669999998,-14.33100033
BMA, Bromma,17.94169998,59.35440063
BQH, Biggin Hill,0.032499999,51.33079910000001
CIW, Canouan Airport,-61.3424,12.699000000000002
FRG, Republic,-73.41339874,40.72880173
HEL, Helsinki Vantaa,24.963300699999998,60.31719971
LIN, Milano Linate,9.27674,45.445099
MRS, Marseille Provence,5.221424103,43.43927192
NAS, Lynden Pindling International,-77.46620178,25.03899956
CHA, Lovell Field,-85.20379639,35.03530121
CPS, Bi-State Parks,-90.1562211,38.5707244
LBG, Paris Le Bourget,2.441390038,48.9693985
MAD, Adolfo Suarez Madrid Barajas,-3.56264,40.471926
MIA, Miami International,-80.29060364,25.79319954
PDK, Dekalb Peachtree,-84.30200195,33.87559891
PSP, Palm Springs International,-116.50700379999999,33.82970047
SCF, Scottsdale,-111.9110031,33.6228981
TLH, Tallahassee International,-84.35030365,30.39649963
EGE, Eagle County Regional,-106.9179993,39.64260101
ORL, Executive,-81.332901,28.5455
SJO, Juan Santamaria International,-84.20880127,9.993860245
SXM, Princess Juliana International,-63.10889816,18.04100037
TMB, Miami Executive,-80.43280029,25.64789963
YVR, Vancouver International,-123.1839981,49.19390106
SRQ, Sarasota/Bradenton International,-82.55439758,27.39539909
MEX, Licenciado Benito Juarez International,-99.072098,19.4363
CPX, Benjamin Rivera Noriega,-65.304324,18.313289
VQS, Antonio Rivera Rodriguez,-65.42269897,18.11580086
MRY, Monterey Regional,-121.84300230000001,36.587001799999996
MCO, Orlando International,-81.30899811,28.42939949
AUA, Reina Beatrix International,-70.015198,12.5014
CUN, Cancun International,-86.87709808,21.03650093
PTY, Tocumen International,-79.38349915,9.071359634
EIS, Terrance B Lettsome,-64.54299927,18.44479942
JRV, Jose Aponte de la Torre,-4.701135,
STT, Cyril E King,-64.9733963,18.33729935
ASE, Aspen Pitkin County Sardy Field,-106.8690033,39.22320175
BFL, Meadows Field,-119.0569992,35.43360138
CLM, William R. Fairchild International,-123.5,48.12020111
ANU, V C Bird International,-61.792702,17.1367
AUG, Augusta State,-69.79730225,44.320598600000004
B21, Sugarloaf Regional,-123.6035635,
BVY, Beverly Regional,-70.91649628,42.58420181
CDW, Essex County,-74.28140259,40.87519836
DXR, Danbury Municipal,-73.48220062,41.37149811
GAI, Montgomery County Airpark,-77.16600037,39.16830063
LRM, Casa de Campo International,-68.91179657,18.45070076
MMU, Morristown Municipal,-74.41490173,40.79940033
NPT, Newport State,-71.3137707,
OXC, Waterbury Oxford,-73.1352005,41.47859955
SBH, Saint Barthelemy Airport,-62.84360123,17.90439987
SYR, Syracuse Hancock International,-76.10630035,43.11119843
BFM, Mobile Downtown,-88.06809998,30.62680054
OGG, Kahului Airport,-156.429993,20.8986
POP, Gregorio Luperon International,-70.56999969,19.75790024
ASD, Fresh Creek,-77.79560089,24.69790077
BS3, Baker Bay Airport,-124.00515790000001,
MHH, Leonard M Thompson International,-77.08350300000001,26.5114
ANC, Ted Stevens Anchorage International,-149.9960022,61.17440033
GAM, Gambell Airport,-171.7330017,63.76679993
GLV, Golovin Airport,-163.0070038,64.55049896
KKA, Koyuk Alfred Adams,-161.154007,64.93949889999999
KTS, Brevig Mission Airport,-166.4660034,65.33129883
OME, Nome Airport,-165.44500730000001,64.5121994
PEC, Pelican Seaplane Base,-136.236389,57.955278
HYG, Hydaburg Seaplane Base,-132.8280029,55.20629883
PPV, Port Protection Airport,-133.61,56.328889000000004
WHD, Hyder Seaplane Base,-130.006667,55.903332999999996
WRG, Wrangell Airport,-132.36999509999998,56.48429871
YYJ, Victoria International,-123.4260025,48.64690018
HBG, Hattiesburg Bobby L. Chain Municipal,-89.25279999,31.26479912
MQY, Smyrna Airport,-86.52010345,36.00899887
SWF, New York Stewart International,-74.10479736,41.504100799999996
UGN, Waukegan National,-87.86789703,42.42219925
JNU, Juneau International,-134.576004,58.35499954
HUS, Hughes Airport,-154.26300049999998,66.04109955
BTT, Bettles Airport,-151.529007,66.91390228
TAL, Ralph M Calhoun Memorial,-152.07583300000002,65.179556
WBQ, Beaver Airport,-147.4069977,66.36219788
ELV, Elfin Cove Seaplane Base,-136.3470001,58.19520187
AKI, Akiak Airport,-161.23100280000003,60.9029007
KWN, Quinhagak Airport,-161.845,59.7551
SXP, Nunam Iqua,-164.847778,62.520556000000006
ADQ, Kodiak Airport,-152.4940033,57.75
DGB, Danger Bay Airport,-152.75,
KOZ, Ouzinkie Airport,-152.50051100000002,57.922876
KPR, Port Williams Airport,-152.582222,58.49
KWP, West Point Village,-153.548889,57.77
KYK, Karluk Airport,-154.4499969,57.56710052
ORI, Port Lions Airport,-152.846111,57.885278
SVS, Stevens Village Airport,-149.054444,66.016944
DLG, Dillingham Airport,-158.50500490000002,59.04470062
EHM, Cape Newenham LRRS,-162.06300349999998,58.64640045
SCM, Scammon Bay Airport,-165.5709991,61.84529877
SNP, St. Paul Island,-170.22000119999998,57.16730118
WWT, Newtok Airport,-164.64111100000002,60.939167000000005
CKX, Chicken Airport,-141.952838874815,
KEK, Ekwok Airport,-157.471111,59.35694399999999
KMO, Manokatak Seaplane Base,-159.0500031,58.99020004
AZI, Al Bateen Executive,54.45809937,24.42830086
NUE, Nuernberg,11.078056,49.498699
CYF, Chefornak Airport,-164.2859955,60.14920044
SCC, Deadhorse Airport,-148.46499630000002,70.19470215
ERI, Erie International/Tom Ridge Field,-80.17386675,42.08312701
HVN, Tweed New Haven,-72.88680267,41.26369858
OCA, Ocean Reef Club,-80.27480316,25.3253994
YOW, Ottawa Macdonald Cartier International,-75.66919708,45.32249832
YUL, Pierre Elliott Trudeau International,-73.74079895,45.47060013
CCR, Buchanan Field,-122.0569992,37.98970032
OXR, Oxnard,-119.2070007,34.20080185
SAC, Sacramento Executive,-121.49299620000001,38.51250076
SMO, Santa Monica Municipal,-118.45099640000001,34.01580048
PQI, Presque Isle International,-68.0447998,46.68899918
FAR, Hector International,-96.81580353,46.92070007
SJD, Los Cabos International,-109.7210007,23.15180016
HSV, Huntsville International-Carl T Jones Field,-86.77510071,34.6371994
PUB, Pueblo Memorial,-104.49700159999999,38.28910065
YWG, James Armstrong Richardson International,-97.23989868,49.90999985
KLL, Levelock Airport,-156.858611,59.12805600000001
DAL, Dallas Love Field,-96.851799,32.847099
HRL, Valley International,-97.65440369,26.22850037
ICT, Wichita Dwight D Eisenhower National,-97.433098,37.649899
FRA, Frankfurt Main,8.570556,50.033333
BGI, Grantley Adams International,-59.49250031,13.07460022
MCI, Kansas City International,-94.713898,39.2976
OKC, Will Rogers World,-97.60070038,35.39310074
PNS, Pensacola International,-87.18659973,30.47340012
SNA, John Wayne Airport-Orange County,-117.86799620000001,33.67570114
STL, St Louis Lambert International,-90.370003,38.748697
CPH, Kastrup,12.65600014,55.61790085
FAB, Farnborough Airport,-0.776332974,51.2757988
LTN, London Luton,-0.368333012,51.87469864
SNN, Shannon Airport,-8.92482,52.702
APC, Napa County,-122.280998,38.2132
BMI, Central Il Regional Airport at Bloomington,-88.91590118,40.47710037
DPA, Du Page County,-88.24859619,41.90779877
JAC, Jackson Hole,-110.737999,43.6072998
KOA, Ellison Onizuka Kona International at Keahole,-156.045603,19.738782999999998
MDT, Harrisburg International,-76.76339722,40.19350052
TTN, Trenton Mercer,-74.81349945,40.27669907
GGT, Exuma International,-75.87799835,23.56259918
BGD, Hutchinson County,-101.3939972,35.70090103
BTV, Burlington International,-73.15329742,44.47190094
HGR, Hagerstown Regional-Richard A. Henson Field,-77.72949982,39.707901
TRI, Tri Cities,-82.40740100000001,36.475201
SFB, Orlando Sanford International,-81.23750305,28.77759933
KQA, Akutan Airport,-165.7788956,54.13377044
PHO, Point Hope Airport,-166.799,68.3488
OBU, Kobuk Airport,-156.8970032,66.91230011
DOF, Dora Bay Airport,-132.2666667,
MTM, Metlakatala,-131.578003,55.131001
UST, Northeast Florida Regional,-81.339798,29.9592
KBC, Birch Creek Airport,-145.815319,66.25670799999999
KLW, Klawock Airport,-133.076004,55.57920074
ATT, Atmautluak Airport,-97.7666,30.31666
WNA, Napakiak Airport,-161.9790039,60.69029999
KKB, Kitoi Bay Airport,-152.370556,58.190833
TWA, Twin Hills Airport,-160.275,59.07444399999999
CZN, Chisana Airport,-142.048333,62.071111
TOG, Togiak Airport,-160.3970032,59.05279922
AAN, Al Ain International,55.60919952,24.26169968
KEF, Keflavik International,-22.60560036,63.98500061
BTI, Barter Island Airport,-143.5820007,70.13400269
RBY, Ruby Airport,-155.47000119999998,64.72720337
RDV, Red Devil Airport,-157.350278,61.788056000000005
SLQ, Sleetmute Airport,-157.1660004,61.70050049
SRV, Stony River Airport,-156.591111,61.7875
VAK, Chevak Airport,-165.6005,61.5409
APF, Naples Municipal,-81.77529907,26.15259933
CKV, Outlaw Field,-87.41500092,36.62189865
FXE, Fort Lauderdale Executive,-80.17070007,26.19729996
2CA, Delano Municipal,-119.23699951171876,
SNS, Salinas Municipal,-121.6060028,36.66279984
SKB, Robert L Bradshaw International,-62.71870041,17.31119919
MXY, McCarthy Airport,-142.9030737,61.4370608
FNT, Bishop International,-83.74359894,42.965400700000004
PDB, Pedro Bay Airport,-154.1325,59.782222
MWH, Grant County International,-119.3199997,47.20769882
BKL, Burke Lakefront,-81.6832962,41.51750183
BZN, Bozeman Yellowstone International,-111.15299990000001,45.77750015
JRA, West 30th Street Heliport,-74.007103,40.754501
RIL, Rifle Garfield County,-107.726997,39.526299
PLS, Providenciales International,-72.26589966,21.77359962
STS, Charles M. Schulz - Sonoma County,-122.8130035,38.50899887
FOK, Francis S. Gabreski,-72.63179779,40.84370041
LYH, Lynchburg Regional/Preston Glenn Field,-79.20040131,37.3266983
OWD, Norwood Memorial,-71.17289734,42.19049835
TVI, Thomasville Regional,-83.88130188,30.90159988
VSF, Hartness State,-72.517222,43.343333
YQB, Quebec Jean Lesage International,-71.393303,46.7911
DSI, Destin Executive,-86.47149658,30.40010071
CXY, Cat Cay Airport,-76.85317162803,
FPO, Grand Bahama International,-78.69560242,26.55870056
PPC, Prospect Creek Airport,-150.64399719999997,66.81410217
TLA, Teller Airport,-166.3390045,65.24040222
GST, Gustavus Airport,-135.7070007,58.42530060000001
CDB, Cold Bay Airport,-162.7250061,55.20610046
DAB, Daytona Beach International,-81.058098,29.179899
SUA, Witham Field,-80.22109985,27.18169975
ARC, Arctic Village Airport,-145.578995,68.1147
EXI, Excursion Inlet Seaplane Base,-135.449167,58.420556000000005
HYL, Hollis Seaplane Base,-132.64611100000002,55.481667
ZXM, Saltery Cove Airport,-132.3291667,
RMP, Rampart Airport,-150.14083300000001,65.507778
DUT, Unalaska Airport,-166.5440063,53.90010071
KPV, Perryville Airport,-159.162993,55.905998
WSN, South Naknek 2,-157.0079956,58.70339966
TYE, Tyonek Airport,-151.138056,61.07666700000001
IAH, George Bush Intercontinental/Houston,-95.34140015,29.984399800000002
CPR, Casper/Natrona County International,-106.46399699999999,42.908001
ILM, Wilmington International,-77.90260315,34.27059937
SLK, Adirondack Regional,-74.20619965,44.38529968
YLW, Kelowna Airport,-119.37799840000002,49.95610046
AZ3, Glendale Municipal,-112.29499816894531,
NUQ, Moffett Federal Airfield,-122.04900400000001,37.4161
CDV, Merle K Mudhole Smith,-145.4779968,60.49179839999999
GSO, Piedmont Triad International,-79.93730164,36.09780121
DUB, Dublin Airport,-6.27007,53.421299
LPA, Gran Canaria,-15.38659954,27.93190002
SVD, E. T. Joshua,-61.149944999999995,13.156695000000001
ADS, Addison,-96.83640289,32.96860123
CLD, McClellan-Palomar,-117.27999879999999,33.12829971
ISM, Kissimmee Gateway,-81.43710327,28.28980064
LIH, Lihue Airport,-159.3390045,21.97599983
TXK, Texarkana Regional-Webb Field,-93.99099731,33.45370102
AZS, El Catey International,-69.74199677,19.2670002
MAZ, Eugenio Maria de Hostos,-67.14849854,18.25569916
PGO, Stevens Field,-107.057155399199,
MOB, Mobile Regional,-88.24279785,30.69120026
GUM, Guam International,144.7960052,13.48340034
BS1, Goat Cay Airport,9.2814924,
GHB, Governors Harbour Airport,-76.33100128,25.28470039
LUR, Cape Lisburne LRRS,-166.1100006,68.87509918
PTD, Port Alexander Airport,-134.6470219,
CGA, Craig Seaplane Base,-133.14777800000002,55.478889
LKE, Lake Union Terminal,-122.339,47.629
MGM, Montgomery Regional,-86.39399719,32.30059814
MHM, Minchumina Airport,-152.30200200000002,
EEK, Eek Airport,-162.0438843,60.21367264
CZF, Cape Romanzof LRRS,-166.03900149999998,61.78030014
KGK, Koliganek Airport,-157.25900269999997,59.72660065
SQA, Santa Ynez Airport,-120.07599640000001,34.60680008
TYS, McGhee Tyson,-83.99400329999999,35.81100082
GJT, Grand Junction Regional,-108.52700039999999,39.12239838
STI, Cibao International,-70.60469818,19.40609932
SUN, Friedman Memorial,-114.2959976,43.50439835
VIE, Vienna International,16.56970024,48.11029816
VKO, Vnukovo,37.26150131,55.59149933
FDH, Friedrichshafen Airport,9.511489868,47.67129898
STP, St. Paul Downtown Holman Field,-93.05999756,44.93450165
CSL, Cabo San Lucas International,-109.936996,
LIR, Daniel Oduber International,-85.544403,10.5933
PUJ, Punta Cana International,-68.36340332,18.56739998
BQN, Rafael Hernandez,-67.12940216,18.49489975
PVR, Licenciado Gustavo Diaz Ordaz International,-105.2539978,20.68009949
ABE, Lehigh Valley International,-75.44080353,40.65209961
TEX, Telluride Regional,-107.90799709999999,37.9538002
BTR, Baton Rouge Metropolitan/Ryan Field,-91.149597,30.533199
BIM, Bimini International,-79.26470184,25.69989967
PIE, St Pete Clearwater International,-82.68740082,27.91020012
WTK, Noatak Airport,-162.9750061,67.56610107
SGF, Springfield-Branson National,-93.38860321,37.24570084
HNS, Haines Airport,-135.5240021,59.24380112
BCT, Boca Raton Public,-80.10769653,26.37849998
TBN, Waynesville-St. Robert Regional Forney Field,-92.14070129,37.74160004
USA, Concord Padgett Regional,-80.709099,35.387798
HNH, Hoonah Airport,-135.410111,58.0961
UGI, Uganik Airport,-153.32037549999998,
EGX, Egegik Airport,-157.375,58.1855011
JHM, Kapalua Airport,-156.67300419999998,20.96290016
ATK, Atqasuk Edward Burnell Sr. Memorial,-157.4360046,70.46730042
GND, Maurice Bishop International,-61.78620148,12.00419998
DQL, Lake Hood,-149.965442,
STR, Stuttgart Airport,9.221960068,48.68989944
ZRH, Zurich Airport,8.54917,47.464698999999996
SDM, Brown Field Municipal,-116.9800034,32.57229996
YCD, Nanaimo Airport,-123.86986259999999,49.05497022
BHX, Birmingham Airport,-1.7480299469999998,52.45389938
TLS, Toulouse Blagnac,1.36382,43.629101
USH, Islas Malvinas,-68.2958,-54.8433
EYW, Key West International,-81.75959778,24.55610085
SPI, Abraham Lincoln Capital,-89.67790222,39.84410095
RDM, Roberts Field,-121.15000149999999,44.254100799999996
ZXU, Quonset State,-71.412101745605,
KVL, Kivalina Airport,-164.56300349999998,67.73619843
TNC, Tin City LRRS,-167.9219971,65.56310272
KAE, Kake Seaplane Base,-133.945556,56.97305600000001
AXA, Clayton J Lloyd,-63.055099,18.2048
GA9, Cartersville Airport,-84.84870147705078,
MTY, General Mariano Escobedo International,-100.10700229999999,25.7784996
ORD, Chicago O'Hare International,-87.9048,41.9786
MKK, Molokai,-157.095993,21.1529007
AIN, Wainwright Airport,-159.99499509999998,70.63800049
BKC, Buckland Airport,-161.1490021,65.9815979
YQU, Grande Prairie Airport,-118.8850021,55.17969894
CXL, Calexico International,-115.51300049999999,32.66949844
SQL, San Carlos Airport,-122.25,37.51190186
PLN, Pellston Regional Airport of Emmet County,-84.79669952,45.57089996
C01, Camarillo Airport,6.7634509000000005,
SGR, Sugar Land Regional,-95.65650177,29.62229919
TSS, East 34th Street Heliport,-73.971944,40.7425
GCM, Owen Roberts International,-81.35769653,19.2928009
BZE, Philip S. W. Goldson International,-88.30819702,17.53910065
SAP, Ramon Villeda Morales International,-87.923599,15.4526
MTJ, Montrose Regional,-107.8939972,38.50979996
LCI, Laconia Municipal,-71.41256947405859,
MVL, Morrisville Stowe State,-72.61399841,44.534599299999996
