Source,Destination
0,50
0,84
0,108
0,115
0,128
0,183
0,200
0,244
0,327
0,363
0,417
0,440
0,460
0,474
0,497
0,528
0,557
0,805
0,849
0,850
0,922
0,1002
0,1038
0,1066
0,1067
0,1088
0,1103
0,1139
0,1173
1,91
1,126
1,167
1,179
1,187
1,208
1,312
1,341
1,389
1,480
1,491
1,739
1,797
1,800
1,860
1,870
1,900
1,937
1,946
1,1052
1,1105
1,1127
1,1212
2,28
2,51
2,174
2,175
2,176
2,198
2,203
2,216
2,222
2,342
2,407
2,428
2,516
2,622
2,624
2,627
2,658
2,670
2,813
2,829
2,836
2,873
2,891
2,903
2,930
2,965
2,969
2,983
2,989
2,1071
3,50
3,65
3,110
3,197
3,358
3,364
3,369
3,388
3,427
3,525
3,529
3,575
3,577
3,604
3,623
3,663
3,829
3,866
3,952
3,984
3,1001
3,1022
3,1027
3,1030
3,1111
3,1119
3,1122
3,1158
3,1172
3,1247
4,205
4,223
4,257
4,261
4,305
4,307
4,342
4,434
4,536
4,554
4,566
4,602
4,669
4,718
4,745
4,788
4,805
4,875
4,975
4,1058
4,1099
4,1152
4,1199
4,1257
5,70
5,242
5,260
5,265
5,366
5,381
5,389
5,409
5,450
5,519
5,524
5,558
5,621
5,641
5,682
5,708
5,769
5,841
5,863
5,887
5,985
5,1036
5,1057
5,1070
5,1092
5,1108
5,1129
5,1166
5,1212
5,1233
6,95
6,104
6,165
6,234
6,271
6,410
6,564
6,626
6,677
6,771
6,841
6,872
6,879
6,931
6,1025
6,1065
6,1074
6,1101
6,1112
6,1194
6,1236
6,1249
7,32
7,120
7,198
7,219
7,250
7,524
7,568
7,597
7,712
7,727
7,852
7,907
7,1100
7,1107
7,1146
7,1157
7,1180
7,1197
8,75
8,124
8,151
8,166
8,268
8,293
8,302
8,461
8,480
8,526
8,573
8,688
8,718
8,733
8,807
8,849
8,952
8,1118
8,1203
8,1208
8,1220
9,45
9,80
9,113
9,201
9,256
9,261
9,365
9,407
9,415
9,425
9,511
9,575
9,615
9,643
9,771
9,820
9,857
9,881
9,889
9,908
9,940
9,972
9,994
9,1041
9,1070
9,1079
9,1123
9,1147
9,1179
9,1185
9,1191
9,1250
10,27
10,30
10,41
10,99
10,275
10,367
10,516
10,538
10,725
10,774
10,782
10,875
10,880
10,971
10,973
10,1119
10,1233
11,13
11,20
11,31
11,72
11,87
11,177
11,199
11,235
11,337
11,370
11,376
11,386
11,422
11,469
11,519
11,567
11,628
11,650
11,670
11,673
11,706
11,708
11,748
11,763
11,784
11,988
11,1061
11,1194
11,1214
11,1244
12,63
12,66
12,76
12,243
12,257
12,292
12,326
12,353
12,387
12,424
12,466
12,528
12,529
12,553
12,555
12,560
12,572
12,644
12,664
12,790
12,810
12,849
12,855
12,914
12,988
12,1032
12,1106
12,1132
12,1232
12,1236
13,164
13,167
13,250
13,314
13,315
13,440
13,444
13,531
13,560
13,564
13,576
13,591
13,594
13,612
13,700
13,783
13,840
13,849
13,873
13,926
13,976
13,1006
13,1012
13,1067
13,1090
14,82
14,143
14,170
14,228
14,301
14,318
14,401
14,421
14,429
14,513
14,549
14,668
14,726
14,789
14,798
14,804
14,807
14,919
14,923
14,959
14,991
14,1040
14,1104
14,1109
14,1129
14,1145
14,1206
14,1222
15,48
15,56
15,239
15,282
15,290
15,336
15,353
15,400
15,434
15,455
15,503
15,505
15,642
15,664
15,874
15,911
15,966
15,1013
15,1015
15,1044
15,1048
15,1094
15,1122
15,1125
15,1208
16,41
16,65
16,99
16,225
16,278
16,296
16,335
16,465
16,495
16,505
16,548
16,620
16,625
16,632
16,671
16,757
16,760
16,778
16,808
16,856
16,959
16,984
16,1046
16,1064
16,1146
16,1156
16,1187
17,19
17,51
17,68
17,199
17,203
17,245
17,261
17,275
17,278
17,296
17,369
17,375
17,433
17,437
17,483
17,551
17,649
17,657
17,724
17,773
17,821
17,869
17,946
17,952
17,990
17,994
17,1052
17,1075
17,1105
17,1114
17,1140
17,1245
18,55
18,86
18,88
18,98
18,185
18,280
18,359
18,366
18,404
18,529
18,563
18,617
18,681
18,753
18,771
18,779
18,945
18,959
18,1068
18,1114
18,1140
18,1141
18,1146
19,89
19,108
